Date,Description,Province,City,Industry,Sub Industry,Company Name,Company Ownership,Action Type,Number Of Participants,Employees Demands,Response to Collective Actions
2021-03-16,"Taxi drivers protest against illegal cabs and Didi vehicles in Luoyang, Henan",Henan,Luoyang,Transport&Logistics,Taxi,,Other,Protest,101-1000,Management Supervision/Other,
2021-03-16,"Taxi drivers protest to demand for operational rights and cancel of illegal fees in Anyang, Henan",Henan,Anyang,Transport&Logistics,Taxi,,Other,Protest,101-1000,Management Supervision/Other,Government Intervention/Negotiations with Management
2021-03-15,"Players and other members of a soccer club protest against wage arrears by applying for arbitration in Nanjing, Jiangsu",Jiangsu,Nanjing,Other,,,Private Enterprise,Protest/Other,1-100,Wage Arrears,Government Intervention
2021-03-15,"Taxi drivers protest against illegal fees and practices of transport bureau in Dashiqiao, Liaoning",Liaoning,Yingkou,Transport&Logistics,Taxi,,Other,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-03-15,"Workers protest against wage arrears of a restaurant in Wuhan, Hubei",Hubei,Wuhan,Services,Hotels & catering,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-03-15,"Workers protest against wage arrears of a construction site, the court intervened, in Zhenba, Shaanxi",Shanxi,Hanzhong,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention/Negotiations with Management
2021-03-15,"Taxi drivers protest against illegal cabs in Taihe, Anhui",Anhui,Fuyang,Transport&Logistics,Taxi,,Private Enterprise,Strike/Protest/Block Road,101-1000,Other,
2021-03-15,"Workers protest against wage arrears of a real estate developer in Huizhou, Guangdong",Guangdong,Huizhou,Services,Property management & real estate,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-14,"Workers protest against wage arrears of a construction site by threatening to jump off crane tower in Suzhou, Jiangsu",Jiangsu,Suzhou,Construction,,,Unknown,Protest/Threaten to Jump,1-100,Wage Arrears,
2021-03-14,"Workers protest against wage arrears of a construction site in Xian, Shaanxi",Shanxi,"Xi,an",Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-03-13,"Workers protest against wage arrears by threatening to jump off buildings, in Puyang, Henan",Henan,Puyang,Construction,Residential Property,,Private Enterprise,Protest/Threaten to Jump,1-100,Wage Arrears,
2021-03-13,"Taxi drivers protest against illegal vehicles, had conflict, in Zunyi, Guizhou",Guizhou,Zunyi,Transport&Logistics,Taxi,,Other,Protest,1-100,Other,
2021-03-13,"Taxi drivers protest against Huaxiaozhu app drivers by hunting them, in Yangquan, Shanxi",Shanxi,Yangquan,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Management Supervision/Other,Government Intervention/Police
2021-03-13,"Taxi drivers protest against illegal cabs in Zunyi, Guizhou",Guizhou,Zunyi,Transport&Logistics,Taxi,,Private Enterprise,Protest,1-100,Management Supervision/Other,Government Intervention
2021-03-12,"Taxi drivers protest against lawsuits results, demand for operational rights, in Beihai, Guangxi",Guangxi,Beihai,Transport&Logistics,Taxi,,Other,Protest,1-100,Management Supervision/Other,Government Intervention/Police
2021-03-12,"Workers protest against wage arrears, reach FTU and file lawsuits, in Guangan, Sichuan",Sichuan,"Guang,an",Construction,,,Unknown,Protest/Other,1-100,Wage Arrears,Union Intervention
2021-03-12,"Workers protest against wage arrears of a gym after closure in Tengzhou, Shandong",Shandong,Zaozhuang,Services,"Sports and leisure including spa, nail salon etc",,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,
2021-03-11,"Workers protest against wage arrears after closure of a property management company by applying for arbitration, in Shanghai",Shanghai,Shanghai,Services,Property management & real estate,,Private Enterprise,Protest,1-100,Wage Arrears/Relocation or Closure,Government Intervention
2021-03-10,"Workers protest against wage arrears of a construction project, in Dalian, Liaoning",Liaoning,Dalian,Construction,Commercial Property,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-03-10,"Workers protest against wage arrears of a construction project in Qingdao, Shandong",Shandong,Qingdao,Services,Telecommunications,,Private Enterprise,Protest,1-100,Wage Arrears,Negotiations with Management
2021-03-08,"Workers protest against wage arrears of a construction company in Hangzhou, Zhejiang",Zhejiang,Hangzhou,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-08,"Taxi drivers sue company to demand for operational rights, in Xingping, Shaanxi",Shanxi,Xianyang,Transport&Logistics,Taxi,,Private Enterprise,Other,1-100,Other,
2021-03-08,"Workers protest against wage arrears of a construction project in Lanzhou, Gansu",Gansu,Lanzhou,Construction,Residential Property,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-08,"Taxi drivers protest against illegal cabs and Didi vehicles in Jixi, Anhui",Anhui,Xuancheng,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Other,
2021-03-06,"Didi drivers protest against lower rates by striking, in Chengdu, Sichuan",Sichuan,Chengdu,Transport&Logistics,,,Joint Venture,Strike/Protest,101-1000,Pay Increase/Management Supervision/Other,Government Intervention/Negotiations with Management
2021-03-05,"Taxi drivers protest against electric vehicles policy, demand for  payments of delayed subsidies, in Luoyang, Henan",Henan,Luoyang,Transport&Logistics,Taxi,,Public Institution,Other,1-100,Management Supervision/Other,Negotiations with Management
2021-03-05,"Workers protest against wage arrears of a tech company after bankruptcy in Qinglong, Guizhou",Guizhou,Qianxinan,Services,Information technology,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-04,"Taxi drivers protest to demand for solutions of quality and policy issues of new vehicles in Xuchang, Henan",Henan,Xuchang,Transport&Logistics,Taxi,,Other,Protest,101-1000,Management Supervision/Other,
2021-03-04,"Taxi drivers protest against Didi vehicles by hunting and blocking them, in Yangquan, Shanxi",Shanxi,Yangquan,Transport&Logistics,Taxi,,Joint Venture,Protest,101-1000,Management Supervision/Other,Government Intervention
2021-03-03,"Workers protest against wage arrears of a construction site in Jinzhong, Shanxi",Shanxi,Jinzhong,Construction,Commercial Property,,SOE,Protest,1-100,Wage Arrears,
2021-03-03,"Workers protest against wage arrears by threatening to jump off building in Kunming, Yunnan",Yunnan,Kunming,Construction,,,Unknown,Protest/Threaten to Jump,1-100,Wage Arrears,
2021-03-02,"Meituan food delivery workers protest against lower rates by striking, in Linyi, Shandong",Shandong,Linyi,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,101-1000,Pay Increase/Management Supervision,
2021-03-02,"Workers protest against wage arrears of a construction site, reach media, in Harbin, Heilongjiang",Heilongjiang,Harbin,Construction,,,Private Enterprise,Protest,1-100,Wage Arrears,Government Intervention
2021-03-01,"Workers protest against wage arrears of an auto parts factory in Kunshan, Jiangsu",Jiangsu,Suzhou,Manufacturing,Automotive,,Foreign,Protest,1-100,Wage Arrears,
2021-03-01,"Workers protest against wage arrears of a construction decoration company in Quzhou, Zhejiang",Zhejiang,Quzhou,Construction,Interior Decoration,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-01,"Workers protest against wage arrears of a construction site in Guiyang, Guizhou",Guizhou,Guiyang,Construction,,,SOE,Protest,1-100,Wage Arrears,
2021-03-01,"Workers protest against wage arrears of a construction site in Tongren, Anhui",Guizhou,tongrenshi,Construction,Infrastructure,,Private Enterprise,Protest,1-100,Wage Arrears,
2021-03-01,"Meituan food delivery workers protest against lower rates by going on strike in Shenzhen, Guangdong",Guangdong,Shenzhen,Transport&Logistics,Food delivery,,Joint Venture,Strike/Protest,101-1000,Pay Increase/Management Supervision,Negotiations with Management
2021-03-01,"Meituan food delivery workers go on strike to protest against lower rates in Tongxiang, Zhejiang",Zhejiang,Jiaxing,Transport&Logistics,Food delivery,,Joint Venture,Strike/Sit-in/Protest,101-1000,Pay Increase/Management Supervision,
2021-03-01,"Taxi drivers protest against illegal cabs near railway station, in Kaifeng, Henan",Henan,Kaifeng,Transport&Logistics,Taxi,,Private Enterprise,Protest,101-1000,Management Supervision/Other,
